1126	王强	0	26	0	1	3	1	2	4	1	10	20	4000	6000	5000	0.3	0.6	1	2	0	0	0	0
1111	小李	1	28	1	0	2	1	1	6	1	7	15	5500	9000	0.6	0.7	0.6	1	2	0	0	0	0
13	废话	0	1	0	0	12	0	0	12	0	12	12	123	1231	231	1	1	1	1	1	1	1	1
14	小刘	0	19	2	2	4	0	0	12	4	2	3	1230	1231	0.6	0.5	0.6	1	1	1	1	1	1
15	消化	0	1	0	0	12	0	0	12	0	12	12	123	1231	231	1	1	1	1	1	1	1	1
1234	xiaohua	1	29	1	3	6	2	3	7	3	3	2	6000	10000	0.4	0.3	0.4	1	0	0	0	0	0
2222	嘻嘻	1	37	0	0	17	0	0	17	0	30	30	21000	43000	0.1	0.2	0.2	0	0	0	0	0	0
430105	zk	0	44	0	0	15	0	2	25	0	15	50	15000	30000	20000	0.2	0.15	0	0	0	0	0	0
430102	zgg	0	18	2	3	1	15	7	0	4	0	0	4000	4000	3000	0.8	0.7	0	0	3	5	0	0
123	xs	0	19	0	0	4	0	0	7	2	3	3	6234	7878	0.3	0.4	0.5	0	0	0	0	0	0
222	sc	0	23	2	2	2	2	4	4	1	6	7	6789	7890	0.4	0.3	0.4	0	0	0	0	0	0
1212	1212	0	34	0	1	11	3	7	11	1	23	23	23440	34000	0.45	0.34	0.23	1	2	1	1	0	0
12345	小花	1	24	2	2	4	1	3	3	0	5	6	4560	7000	0.3	0.4	0.3	0	0	0	0	0	0
10025	LY	1	45	0	0	22	0	1	22	0	35	100	18000	35000	0.6	0.3	0.3	0	0	0	0	0	0
10012	PLA	0	25	2	1	3	14	7	3	4	0	0	5000	5000	0.6	0.5	0.6	0	0	1	1	0	0
9999	小小小	0	40	0	1	15	1	7	10	0	20	5	5000	9000	0.7	0.7	20	3	3	0	0	0	0
